artist_name,track_name,release_date,genre
mariah carey,sent from up above,1990,pop
social distortion,drug train,1990,pop
new kids on the block,games,1990,pop
social distortion,a place in my heart,1990,pop
whitney houston,lover for life,1990,pop
brian eno,lay my love,1990,pop
my bloody valentine,off your face,1990,pop
inxs,the stairs,1990,pop
jellyfish,that is why,1990,pop
jan & dean,dead man's curve,1990,pop
they might be giants,they might be giants,1990,pop
sonny & cher,all i ever need is you,1990,pop
dead moon,walking on my grave,1990,pop
mariah carey,alone in love,1990,pop
mariah carey,there's got to be a way,1990,pop
mazzy star,she hangs brightly,1990,pop
helen shapiro,walkin' back to happiness,1990,pop
emmylou harris,that lovin' you feelin' again (with roy orbison),1990,pop
the church,metropolis,1990,pop
hi-five,quality time,1990,pop
the sundays,skin & bones,1990,pop
they might be giants,we want a rock,1990,pop
madonna,rescue me,1990,pop
inxs,bitter tears,1990,pop
pixies,allison,1990,pop
a tribe called quest,go ahead in the rain,1990,pop
oingo boingo,flesh 'n blood,1990,pop
dusty springfield,in private,1990,pop
wilson phillips,a reason to believe,1990,pop
the breeders,glorious,1990,pop
the waterboys,how long will i love you,1990,pop
pet shop boys,so hard,1990,pop
jimmie rodgers,secretly,1990,pop
ice cube,rollin' wit the lench mob,1990,pop
mazzy star,free,1990,pop
bad religion,god song,1990,pop
ice cube,what they hittin' foe?,1990,pop
ice cube,who's the mack?,1990,pop
the connells,stone cold yesterday,1990,pop
the sundays,a certain someone,1990,pop
mazzy star,taste of blood,1990,pop
bad religion,walk away,1990,pop
they might be giants,particle man,1990,pop
the righteous brothers,(you're my) soul and inspiration,1990,pop
mariah carey,i don't wanna cry,1990,pop
mariah carey,someday,1990,pop
van morrison,real real gone,1990,pop
james,sit down,1990,pop
a tribe called quest,can i kick it?,1990,pop
social distortion,so far away,1990,pop
the black crowes,seeing things,1990,pop
inxs,disappear,1990,pop
new kids on the block,tonight,1990,pop
hi-five,i can't wait another minute,1990,pop
whitney houston,miracle,1990,pop
mariah carey,vision of love,1990,pop
social distortion,ball and chain,1990,pop
en vogue,hold on,1990,pop
heart,all i wanna do is make love to you,1990,pop
sinéad o'connor,nothing compares 2 u,1990,pop
whitney houston,all the man that i need,1990,pop
mariah carey,love takes time,1990,pop
