track_name,track_artist,track_album_release_date,playlist_genre
Eternamente Bella,Alejandra Guzman,1990,latin
I Can't Wait Another Minute,Hi-Five,1990,r&b
Unconditional Love,Hi-Five,1990,r&b
Hard To Handle,The Black Crowes,1990,rock
Enjoy the Silence - Single Mix,Depeche Mode,1990,rock
Unskinny Bop,Poison,1990,rock
Merry Go Round,Keith Sweat,1990,r&b
Tiempo De Vals,Chayanne,1990,latin
Fairweather Friend,Johnny Gill,1990,r&b
Rub You The Right Way,Johnny Gill,1990,r&b
Make You Sweat,Keith Sweat,1990,r&b
Completamente Enamorados,Chayanne,1990,latin
She's Playing Hard To Get,Hi-Five,1990,r&b
Qué Hay de Malo,Jerry Rivera,1990,latin
Knockin' Boots,Candyman,1990,rap
The Humpty Dance,Digital Underground,1990,r&b
I Promised Myself,Nick Kamen,1990,pop
Quality Time,Hi-Five,1990,r&b
High Enough,Damn Yankees,1990,rock
What I Like About You,The Romantics,1990,rock
I'll Give All My Love to You,Keith Sweat,1990,r&b
Beside You,Karyn White,1991,r&b
Two Princes,Spin Doctors,1991,rock
Playground,Another Bad Creation,1991,r&b
Tell Me What You Want Me to Do,Tevin Campbell,1991,r&b
Confused,Tevin Campbell,1991,r&b
Get Up Offa That Thing,James Brown,1991,r&b
Hold You Tight,Tara Kemp,1991,r&b
Iesha,Another Bad Creation,1991,r&b
Romantic,Karyn White,1991,r&b
Alone with You,Tevin Campbell,1991,r&b
Diary Of A Madman,Scarface,1991,rap
Don't Remind Me,Damian Dame,1991,r&b
Born and Raised In Compton,DJ Quik,1991,rap
Tonite,DJ Quik,1991,rap
How I Want You,Karyn White,1991,r&b
Strawberry Letter 23,Tevin Campbell,1991,r&b
To Be with You - 2010 Remastered Version,Mr. Big,1991,rock
Rica y Apretadita (feat. Anayka),El General,1991,latin
Right Down to It,Damian Dame,1991,r&b
Try Me,James Brown,1991,r&b
New Jack Hustler (Nino's Theme),Ice-T,1991,rap
Yellow Ledbetter,Pearl Jam,1991,rock
Metalhammer,And One,1991,pop
Why Me Baby?,Keith Sweat,1991,r&b
Mr. Scarface,Scarface,1991,rap
"Now That We Found Love - 7"" Radio",Heavy D & The Boyz,1991,r&b
Love Me To The End,Deine Lakaien,1991,pop
Quik's Groove,DJ Quik,1991,rap
She's All That,Tevin Campbell,1991,r&b
Whack It On Me,Damian Dame,1991,r&b
Money And The Power,Scarface,1991,rap
Alive,Pearl Jam,1991,rock
Keep It Comin',Keith Sweat,1991,r&b
Rhythm Is A Dancer - 12'' Version,SNAP!,1991,pop
Good Vibrations,Marky Mark And The Funky Bunch,1991,r&b
The Way I Feel About You,Karyn White,1991,r&b
My Heart Is Failing Me,Riff,1991,r&b
"It's A Man's, Man's, Man's World",James Brown,1991,r&b
Jus Lyke Compton,DJ Quik,1991,rap
Gotta Learn My Rhythm,Damian Dame,1991,r&b
Round and Round - Soul Mix Edit,Tevin Campbell,1991,r&b
Ill Street Blues (Illest Version),Kool G Rap & DJ Polo,1992,rap
Life Is A Highway,Tom Cochrane,1992,rock
