track_name,track_artist,lyrics,track_album_release_date
Raise Up,Petey Pablo,"This one's for North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir!North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir! Who am I? Petey Pab' motherfucker!First to put it down for North Carolina But guess what (what?), it's been worth it I'm a superstar, bought me a big ol' car Four point six (see the car!) Black with the bars from the front to back And got a button in the middle, make the trunk go ""eh-eh"" But it ain't 'bout that It's about getting what you getting and driving all back here Big fellas (six fellas) Half of me and Carolina niggas done time together Polk, Bladen, Marshall, Hoke, Greene County, Tillery, damn Transfer, Sandy Ridge, Browns over here (greens over here) Pasqoutank, down on the, Odom East (let me think) Johnson County, Franklin, Burgaw, Newport, Warren, Shelby, Kenansville (Man Currituck) Tarboro, Triangle, Goldsboro, Halifax, Statesville And all my niggas doing life behind the wall This right here, right here, right here's for This one's for North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir!North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir! You remember them days y'all, we used to play y'all The radio and put our own lil' part in the song y'all We used to (Rep our city, rep our city!) Running through the school halls Just before our basketball pep-rally jumped off (hah!) My house, my home, my hood (hah!) My brother, my sister, my cous' (hah!) My niggas that was there from the beginning Been wit me even 'fore they knew what bein' with me was Y'all niggas just glanced at it, now I got y'all staring at it But it's been the same ol' North Carolina it's been being Y'all niggas just getting it, oh it's a shame isn't it? Oh you thought we said we were coming wit a whole lotta something We were bullshhh! (ahh!) This one's for North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir!North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir! Man I had to do it Just in case you were one of the ones Who wanted to come and ask something stupid (What you think you doin'?) What it look like? Putting it down for my niggas in the south side North Carolina, South Carolina And all my little bitty overlooked hick towns We gonna hit y'all asses, ain't nothing but a T. T. blast What we got coming at you? (Beats?) slamming, (verses?) classic (Gold for this) What's after platinum? (Baby you don't want the bomb) And I don't meant to scare ya But I'm about to bring it home Blow these valleys, these hills, these streams And N. C. outta the water How's it feel to look a motherfucker dead in the grill And tell 'em, ""I told ya!"" This one's for North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir!North Carolina! Come on and raise up Take your shirt off, twist it 'round your hand Spin it like a helicopter North Carolina! Come on and raise up This one's for you? Uh-uh This one's for who? Us, us, us, yes sir!",2001
Get the Party Started,P!nk,"I'm comin' up, so you better get this party started I'm comin' up, so you better get this party started Get the party started on a Saturday night Everybody's waiting for me to arrive Sending out the message to all of my friends We'll be looking flashy in my Mercedes Benz I got lots of style, check my gold diamond rings I can go for miles if you know what I mean I'm comin' up, so you better get this party started (I'm comin' up, I'm comin') I'm comin' up, so you better get this party started Pumping up the volume, breaking down to the beat Cruising through the west side, we'll be checking the scene Boulevard is freaking as I'm coming up fast I'll be burning rubber, you'll be kissing my ass Pull up to the bumper, get out of the car License plate says, ""Stunner: #1 Superstar"" I'm comin' up, so you better get this party started (I'm comin' up, so you better) I'm comin' up, so you better get this party started Get this party started Making my connection as I enter the room Everybody's chillin' as I set up the groove Pumping up the volume with this brand new beat Everybody's dancing and they're dancing for me I'm your operator, you can call anytime I'll be your connection to the party line I'm comin' up, so you better get this party started (I'm comin' up, I'm comin') I'm comin' up, so you better get this party started (I'm comin' up, I'm comin') I'm comin' up, so you better get this party started (I'm comin' up, so you better) I'm comin' up, so you better get this party started Get this party started (Ooh) Get this party started right now Get this party started (Ooh) Get this party started Get this party started right now",2001
Adrienne,The Calling,"I've been thinking about you, my love And all the crazy things that you put me through Now I'm coming around, Throwing it back to you Were you thinking of me when you kissed him Could you taste me when you licked his skin All the while I showered you with trust and promises What I'm needing now is some sweet revenge To get back all that I lost then I gave you all I had to give, but I could never reach you Adrienne, I thought I knew you Once again, you used me, used me Adrienne, I should have left you Long before you used me, Used me up Spent my money, drove my car I treated you like a shining star But in my sky all burnt out you are And I'll have the last laugh, when I see you walking with some other guy Cause I know you're gone end up all alone So take these words, some good advice All you've done gonna come back twice You never cared how much it hurt, I really need to tell you Adrienne, I thought I knew you Once again, you used me, used me Adrienne, I should have left you Long before you used me, Used me up What I'm needing now's some sweet revenge To get back all that I lost then I gave you all that I had to give, but I could never reach you Adrienne, I thought I knew you Once again, you used me, used me Adrienne, I should have left you Long before you used me, Used me up Andrienne , long before Andrienne Oh Andrienne, Andrienne, oh yeah",2001
I Must Be High,South Park Mexican,"I'm damned if I do and damned if I don't Holla fuck the world with my chest full of smoke I choke on my breakfast, the end of my necklace Say Dopehouse Records, Screwston, Texas The diamonds in my emblem is cut like a princess You can keep the Lexus, cause I got two Benzes I'm in your girlfriends' hot intestines Cause I bought her two dresses and some contact lenses Got a message in a bottle, hit the throttle in my carro Click and clack my semi auto cause I'm trying to see tomorrow Bought a condo for my top ho cause she working that taco It's the top selling vato, twenty threes on the Tahoe TV screens, margarita machines with street marines Got love for the Crips, and Bloods, and Latin Kings If it means anything this for all my G's I'm in jail cause I forgot my fucking ABC's Another DWI, drunk and fucking high I'll be out before the motherfucking sun can touch the sky They call me young Thurston Howell the Third And that's my word I'm a swang, I'm a swerve I'm a park and scrape the curve Why when I'm not high, does my life feel like it's missing something? I know that I must be high So that I can function Why, when I'm not high, does my life feel like it's missing something? I know that I must be high I'm a use my three wishes, I'm very superstitious No matter where I go I meet a bunch of horny bitches Burn a few bridges, feed a few pigeons Fuck em so good they wake up and wash dishes The food was delicious, bacon, eggs, and biscuits No French kisses and no hippopotamuses I'm picky, if you strictly dickly, you can't get with me As I represent Houston like the damn Whitney I'm a get em when I get em I loved em and I fed em Lived in peace, I ain't gonna let em when I see em I'm gonna wet em Shut em down like D-Town and the homie Ackavelie Peace to Happareli and my nigga John Freddy My drink is thick as jelly, I love my shit muddy Four of us in this bitch and we gonna do them boys ugly Ready for the rumble, leave em lying in a puddle Y'all don't really want no trouble with the lord of the jungle Why, when I'm not high, does my life feel like it's missing something? I know that I must be high Why, when I'm not high, does my life feel like it's missing something? I know that I must be high I walks in the club, all grabbing on my dick Is the police officers pattin' down my click They say my bandana breaks the dress code Every fine fucking bitch I see is my ex-hoe I'm hoggin' and I'm doggin' creeping and I'm crawling Believe me this my calling it's time to do you all in Everybody jump jump, boys trip what what Let my double barrel shotty go barump-pa-pump-pum Slangin slab motor rocks up in no man's land Burnin off in my ""Smokey and the Bandit"" Trans Am The rope around my neck is just dangling and jangling Sometime I smoke the rain and get wetter than a penguin Aunt Jemima sipper, hoes like Jack Tripper Peace to Big Dipper, what the deal my nigga Hook like ""Johnny” Tapia, it's Dopehouse living prosperous I tip my waitress and she can't stop saying 'Gracias'",2001
Hear You Me,Jimmy Eat World,There's no one in town I know You gave us some place to go I never said thank you for that I thought I might get one more chance What would you think of me now So lucky so strong so proud? I never said thank you for that Now I'll never have a chance May angels lead you in Hear you me my friends On sleepless roads the sleepless go May angels lead you in So what would you think of me now So lucky so strong so proud? I never said thank you for that Now I'll never have a chance May angels lead you in Hear you me my friends On sleepless roads the sleepless go May angels lead you in (May angels lead you in) May angels lead you in (May angels lead you in) May angels lead you in And if you were with me tonight I'd sing to you just one more time A song for a heart so big God wouldn't let it live May angels lead you in Hear you me my friends On sleepless roads the sleepless go May angels lead you in May angels lead you in Hear you me my friends On sleepless roads the sleepless go May angels lead you in On sleepless roads the sleepless go May angels lead you in,2001
Hey Lady,Central Coast Clique,"Chorus: Chiko Dateh Move your body closer to me baby (Hey lady) Just chill right here with me (Chill right here with me) I'm not asking you to get me yet, babe I just wanna get To know you (Hey lady) (Verse 1) What's crack-a-latin' Baby girl, let's get to perculatin' Fuck debatin', nigga, time for playa-hatin' Let's spend a little time and see how close we can get Got the chronic, hydrobonic and a bottle of Moet What your name, what your size, what's the color of your eyes Sayin' every little thing to get you wet between the thighs I'm a player Droppin' up game for the triple Out to make a grip out of shiny dime and nickel Hey lady Move a little closer, shorty Let's shake up the party cause it's time to get naughty On the real This is how I feel I give up a mil, just so I could steal A second of your time and let you feel the passion of a thug Me and you lay down on the bed, skin rub Rebel the don and D-Double At The Backhouse, E-Dubb and C-Bubble Repeat Chorus Move a closer Let me connect Dig up in your valley Touch you where you're wet All the right spots, we connecting all them dots We been smoking on that pot, baby, please forget-me-not I know you got plans and I know you got places You wanna go too, but you keep making these faces That make me wanna ask you to stay And be my lady Do a lot of screwin' But not have many babies Me and you, baby girl, against the world I'm not askin' you to give me nothin' Plain and simple, girl Unless you want the Dominator to break it down, way down Turn your punani into a smile from a frown I'm not supposed to be so nasty But I can't help myself Thinking of how you could jab me Of course, you the one, who else Got them soft hands I could smell the funk in your fingernails Repeat Chorus You'se a class act woman Beautiful baby Song in my head, ringin' ""Who's that lady?"" Tell me your name Forget your number A drink on me, let's get to know one another Sippin' on Cris Champagne Beautiful soft skin, your body's callin' my name I'll give you everything, I need nothin' All I want is to show you my lovin' I ain't bluffing I'll give you the world There ain't no limit If you was my girl Drink that ice, you look nice and sexy Naughty little grin, lookin' sweet and nasty I'm happy For this very night Starlit sky clearing up to take flight To ecstacy, girl You and me The love is strong til eternity Hey lady Repeat Chorus",2001
Kleid Aus Rosen,Subway To Sally,"Meister, Meister gib mir Rosen Rosen auf mein weißes Kleid Stech die Blumen in den bloßen Unberührten Mädchenleib Ein gutes Mädchen lief einst fort Verließ der Kindheit schönen Ort Verließ die Eltern und sogar Den Mann, dem sie versprochen war Vor einem Haus, da blieb sie steh'n Darinnen war ein Mann zu seh'n Der Bilder stach in nackte Haut Da rief das gute Mädchen laut: Meister, Meister gib mir Rosen Rosen auf mein weißes Kleid Stech die Blumen in den bloßen Unberührten Mädchenleib 'Diese Rosen kosten Blut' Sprach der Meister sanft und gut 'Enden früh dein junges Leben Will dir lieber keine geben' Doch das Mädchen war vernarrt Hat auf Knien ausgeharrt Bis er nicht mehr widerstand Und die Nadeln nahm zur Hand Meister, Meister gib mir Rosen Rosen auf mein weißes Kleid Stech die Blumen in den bloßen Unberührten Mädchenleib Und aus seinen tiefen Stichen Wuchsen Blätter, wuchsen Blüten Wuchsen unbekannte Schmerzen In dem jungen Mädchenherzen Später hat man sie geseh'n Einsam an den Wassern steh'n Niemals hat man je erfahr'n Welchen Preis der Meister nahm Meister, Meister gib mir Rosen Rosen auf mein weißes Kleid Stech die Blumen in den bloßen Unberührten Mädchenleib Meister, Meister gib mir Rosen Rosen auf mein weißes Kleid Stech die Blumen in den bloßen Unberührten Mädchenleib",2001
Me Liberé,El Gran Combo De Puerto Rico,"NA Me liberé, me liberé Gracias a Dios me liberé Me liberé, me liberé Gracias al cielo me liberé Me liberé de mujeres perversas Que quieren hacer mi vida de cuadritos Me liberé de chicas sin escrúpulos Me liberé de Oria y Socorrito Me liberé de Nancy, de Rebeca, de Olga Damaris, Helga y de Giselle Me liberé tambien de Raquel Gracias a Dios me libere Me liberé de Mariela y de Fe Gracias al cielo me libere Me liberé de mujeres perversas Que quieren hacer mi vida de cuadritos Me liberé de chicas sin escrúpulos Me liberé de Oria y Socorrito Me liberé de Nancy, de Rebeca, de Olga Damaris, Helga y de Giselle Me liberé tambien de Raquel Gracias a Dios me libere Me liberé de Mariela y de Fe Gracias al cielo me libere Todas me insultaban Me decían ""Mujeriego, no te dejaré vivir en paz Donde quiera que te encuentre te la formo"" Y no sé por qué será Pero que todas me insultaban Me decían ""Mujeriego, no te dejaré vivir en paz Donde quiera que te encuentre te la formo"" Y yo me pregunto, y yo no me explico qué razón ellas tendrán Por eso lo tuve que hacer Me liberé, me liberé Gracias a Dios me liberé Me liberé, me liberé Gracias al cielo me liberé (Que yo no quiero mas complicaciones, por eso me liberé) Fueron tantas las presiones que me puse los patines Me puse en bolina y tuve que correr(Que yo no quiero mas complicaciones, por eso me liberé) Mujeres egoístas me querían sólo para ellas Para ellas nada más, y así no puede ser(Que yo no quiero mas complicaciones, por eso me liberé) Recuerdo a mi madre cuando les decía ""Bendito, si él es un muchacho bueno, si ese es un hombre de bien""(Que yo no quiero mas complicaciones, por eso me liberé) A toditas les quiero decir que el amor hay que compartirlo Y si no, I'm sorry, goodbye my girl (Que yo no quiero mas complicaciones, por eso me liberé) Libre yo soy (Me liberé, me liberé)(Que yo no quiero mas complicaciones, por eso me liberé) Y no me debo a nadie (Me liberé, me liberé) (Más complicaciones yo no quiero, ¿para qué?) De sombras y de ese olvido ya yo no quiero saber(Más complicaciones yo no quiero, ¿para qué?) A gozar libre sin problema, buena vida me dare Sí, yo (Me liberé, me liberé) Me liberé (Me liberé, me liberé) Sí, yo (Me liberé, me liberé) Me liberé (Me liberé, me liberé)(Más complicaciones yo no quiero, ¿para qué?) Yo no quiero que me digan lo que yo tengo que hacer(Más complicaciones yo no quiero, ¿para qué?) Que yo no quiero cantaleta, de todo yo me cansé Sí, yo (Me liberé, me liberé) Me liberé (Me liberé, me liberé) Sí, yo (Me liberé, me liberé) Me liberé (Me liberé, me liberé) (Que yo no quiero mas complicaciones, por eso me liberé) Sí, me siento bien (Me liberé, me liberé)(Que yo no quiero mas complicaciones, por eso me liberé) Preguntale a Julito, o a Ithier (Me liberé, me liberé)",2001
Pop Ya Collar,Usher,"Hello everybody Welcome, today, to the wonderful world of you Now, check it, you have two options: You can eat it Or throw it away See, it's a shame that when you're working hard and doing well People hate you Buying nothing else but the best for yourself They really hate you You gotta live for you and no one else Don't let them make you feel Like you're not being real Just live how you wanna live You gotta do for you (Dig that) If you work hard, play hard (dig that) And do what you wanna do (dig that) Just pop your collar, don't let what people say bother you (dig that) You perpetrators, I got something to say (dig that) You can eat it or throw it away (picture that) You're just mad 'cause you're following in my trap But can you dig that? Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you You can see me every week Hanging out with a different girl sitting next to me 'Cause I'm not about to settle down right now I gotta be free Some of y'all fellas might be jealous But y'all know that don't phase me I just pop my collar, tip my hat And turn my back on the ones that hated me (Dig that) Never going home alone (dig that) If she follows, then you know it's on (dig that) She use the pager, not the cellular phone (dig that) I let her know I won't be around for long (dig that) To all you haters, I got something to say (what's that?) You can eat it or throw it away (picture that) Stop hating, wishing, waiting Anticipating for my heat to fade Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you I break my neck for the things I get So much sweat, just so I can get that check And I'm not gonna let nobody bring me down Nobody's gonna steal the crown Because I eat good, I live good I rock good, my life good If you got a lot and you're working for it Pop your collar, don't be afraid to show it Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you Hey, ladies (yeah) Hey, fellas (yeah) You know you're doing good 'cause they're jealous They only hate you cause you're a go-getter Pop your collar, don't let them sweat you",2001
Gravel Pit,Wu-Tang Clan,"1,2, 1,2, yo check this out, it's the jump off right now I want everybody, to put your work down, put your guns down And report to the pit, the gravel pit Leave your problems at home, leave your children at home We gon' take it back underground, I be Bobby Boulders Wu-Tang Clan on yo' mind one time It's the jump off, so just jump off my nigga Check out my gravel pit A mystery unraveling Wu-Tang is the CD that I travel with Don't go against the grain if you can't handle it Ha, holocaust from the land of the lost Behold the pale horse, off course (off course) Follow me, Wu-Tang gotta be The best thing since Starks and Clark Wallabees African killer bees blackwatch On your radio, blowin out yo' watts From Park Hill, the house on haunted hill Every time you walk by your back get a chill Let's peel, who want to talk rap skills I spit like a semi-automatic to the grill Elbow grease, and elbow room Baby play me, baby fall down, go boom Party people gather round, count down to apocalypse(I'm the kid with the golden arms) And I'm the motherfuckin Hot Nicks pass the blunt My nigga don't front You had it for a minute but it seem like a month Now I'm chokin, smokin, hopin I don't croakin, from overdosin Hey, kid, walk straight, master your high Wu and Meth got you open (open), let's ride Can't stand niggas that floss too much Can't stand Bentleys they cost too much Kid wanna get up then kid get touched Kid wanna stick up then kid get stuck I'm the one that called your bluff When your boy tried to act tough Remember what Ol' Dirty said: ""I'll fuck yo' ass up!"" Now listen Back, back and forth and forth E with the English, extinguish styles extremist Bald head beamers run wild It's the kid with the gold cup Stepped out like what What's poppin, and y'all niggas dobo Blastin shae shae, chocolate shortae Rich color mocks, rock those all day1960 shit I'm Goldie That's right motherfucker don't hold me The world's greatest, Las Vegas, paid as rock Skin painted on my face look ageless Perfect combos, Ghost bang out condos Jeff from Hamo, ex three bangos Bancos, stank hoes in plain clothes Change those, bang those, same old, same old Yeah y'all, straight up this the jump off right here The gravel pit, word up represent, rock the boulders All my rich gangsta style, killers, y'all know what time it is Shorty do your thing, get up on that shit right now boo, do you That's what I'm talkin 'bout Yo, step to my groove, move like this When we shoot the gift of course it's ruthless Grab the mic with no excuses In a sec, grab the Tecs and loot this Executing, shaking all sets, and I'm breaking all hecks I'm taking all bets, move all best, who want the dram' next You all stank, we got the bigger bank Bigger shank to fill your tank Still the same kill you for real, while you crank Slide, do or die, fry to bake Admire the greats, on fire wit a heart of hate Bitter shark, every part I take, heavy darts that quake It's okay, all fakes, get caught by the dropkicks You know the thrill, yes it's Park Hill Yo we hit 'em with the hot grits On the go, check the flow, saying Wu don't rock shit Stop quick, hold the gossip, stop sweating my pockets I hear the hot shit Check out my gravel pit A mystery unraveling Wu-Tang is the CD that I travel with Don't go against the grain if you can't handle it You don't have to move a mountain Just give me enough strength to climb Oh Lord ! Don't take away my stumbling blocks to lead me around Yakub, maker and creator of the devil. Swine merchant... your time is near at hand. Fuck with me and your time will be now. Your presence here effects the mind of my people like a fever. You, Yakub, are the bearer of nine thousand nine hundred and ninety nine diseases, evil, corrupt, porkchop-eatin' brain!",2001
