track_name,track_artist,lyrics,track_album_release_date,playlist_genre
At Last - Single Version,Etta James,"I was never spellbound by a starry sky What is there to moon glow, when love has passed you by Then there came a midnight and the world was new Now here am I so spellbound, darling Not by stars, but just by you At last my love has come along My lonely days are over and life is like a song At last the skies above are blue My heart was wrapped in clover the night I looked at you I found a dream that I can speak to A dream that I can call my own I found a thrill to press my cheek to A thrill I've never known You smiled and then the spell was cast And here we are in Heaven For you are mine at last At last my love has come along My lonely days are over and life is like a song At last the skies above are blue My heart was wrapped in clover the night I looked at you I found a dream that I can speak to A dream that I can call my own I found a thrill to press my cheek to A thrill I've never known You smiled and then the spell was cast And here we are in Heaven",1960,r&b
At Last - Single Version,Etta James,"I was never spellbound by a starry sky What is there to moon glow, when love has passed you by Then there came a midnight and the world was new Now here am I so spellbound, darling Not by stars, but just by you At last my love has come along My lonely days are over and life is like a song At last the skies above are blue My heart was wrapped in clover the night I looked at you I found a dream that I can speak to A dream that I can call my own I found a thrill to press my cheek to A thrill I've never known You smiled and then the spell was cast And here we are in Heaven For you are mine at last At last my love has come along My lonely days are over and life is like a song At last the skies above are blue My heart was wrapped in clover the night I looked at you I found a dream that I can speak to A dream that I can call my own I found a thrill to press my cheek to A thrill I've never known You smiled and then the spell was cast And here we are in Heaven",1960,r&b
Jingle Bells,Ella Fitzgerald,"Dashing through the snow In a one-horse open sleigh Through the fields we go Laughing all the way Bells on bob-tail ring Making spirits bright What fun it is to ride and sing A sleighing song tonight Cho: Jingle bells, jingle bells Jingle all the way Oh what fun it is to ride In a one-horse open sleigh, O Jingle bells, jingle bells Jingle all the way Oh what fun it is to ride In a one-horse open sleigh A day or two ago I thought I'd take a ride And soon Miss Fanny Bright Was seated by my side; The horse was lean and lank Misfortune seemed his lot We ran into a drifted bank And there we got upsot A day or two ago The story I must tell I went out on the snow And on my back I fell; A gent was riding by In a one-horse open sleigh He laughed at me as I there sprawling laid But quickly drove away Now the ground is white Go it while you're young Take the girls along And sing this sleighing song Just bet a bob-tailed bay Two-forty as his speed Hitch him to an open sleigh And crack! You'll take the lead",1960,r&b
Winter Wonderland,Aretha Franklin,(Wonderland winter wonderland wonderland) Sleigh bells ring are you listening In the lane snow is glistening A beautiful sight oh we're happy tonight Walking in a winter wonderland Gone away is the bluebird Here to stay is a new bird He's singing a song as we go along Walking in a winter wonderland Well in the meadow we can build a snowman And pretend that he is Parson Brown He'll say are you married we say no man But you can do the job when you're in town Later on we'll conspire as we dream by the fire To face unafraid of the plans that we made Walking in a winter wonderland (In the meadow we can build a snowman) And pretend he's a circus clown We have lots of fun with Mr. Snowman Until the other kiddies knock him down Oh when it snows ain't it filling Though your nose gets a chilling We'll frolic and play the Eskimo way Walking in a winter wonderland (Wonderland wonderland),1964,r&b
Que Bueno Baila Usted,Beny Moré,"GENTE DEL ZOOONA!! UNA VEZ MÁS!! HOMENAJE A PAPARO DEL RIO Jayko forever y Alexander ay namás Nando pro!! Las mafias musicales!! Homeless! Castellano que bueno baila usted! Manos parriba manos pal rio otra vez Castellano que bueno baila usted! EN HOMENAJE PARA BENY MORÉ! Castellano que bueno baila usted! Y no me digas que no que, yo me enteré Castellano que bueno baila usted! Que ella lo gosa como lo gosaba usted AQUI LLEGUÉ CANTANDO A LA BENY MORÉ! Mis respetos para usted; y a la figura de Cuba AQUI LLEGUÉ CANTANDO A LA BENY MORÉ! Mis respetos para usted; y a la figura de Cuba A lo cubano, botella ron, tabaco, abano Aqui tol mundo lo bailamos y lo gosamos Marcando tradicion con un sombrero wano El homenaje es para el Beny con talento le cantamos El de la ley ya que llegó la lirica que enseña Gente de zona con agua y sin soltar la rienda Mi flow se empeña que que! con tal de seguir A un musico que todavia reina Sinceramente lo bueno hay que valorarlo mi hermano Como de ti aprendimos pos siempre te recordamos Le damos gracias a tu forma y a tu estilo cubanos Beny Moré en tu musica nos inspiramos Homeless! Castellano que bueno baila usted! Manos parriba manos pal rio otra vez Castellano que bueno baila usted! EN HOMENAJE PARA BENY MORÉ! Etc etc",1965,r&b
When a Man Loves a Woman,Percy Sledge,"When a man loves a woman Can't keep his mind on nothin' else He'd change the world for the good thing he's found If she is bad, he can't see it She can do no wrong Turn his back on his best friend if he put her down When a man loves a woman He'll spend his very last dime Tryin' to hold on to what he needs He'd give up all his comforts And sleep out in the rain If she said that's the way It ought to be Well, this man loves you, woman I gave you everything I had Tryin' to hold on to your heartless love Baby, please don't treat me bad When a man loves a woman Down deep in his soul She can bring him such misery If she is playin' him for a fool He's the last one to know Lovin' eyes can never see When a man loves a woman He can do her no wrong He can never want Some other girl Yes when a man loves a woman I know exactly how he feels Cause baby, baby, you're my world When a man loves a woman...",1966,r&b
Land of 1000 Dances,Wilson Pickett,"{Children, go where I send you (Where will you send me?) I'm gon' send you to that land The land of a thousand dances}1-2-3 1-2-3 Ow! Uh! Alright! Uh!Got to know how to pony Like Bony Maronie Mash potato, do the alligator Put your hand on your hips, yeah Let your backbone slip Do the Watusi Like my little Lucy Hey! Uh!Na na-na-na-na na-na-na-na-na-na-na-na na-na-na-na I need somebody to help me say it one time Na na-na-na-na na-na-na-na-na-na-na-na na-na-na-na Wow!{Instrumental} Wow! Uh! You know I feel alright! Huh! I feel pretty good y'all Uh! Huh! Na na-na-na-na na-na-na-na-na-na-na-na na-na-na-na Come on y'all, let's say it one more time) Na na-na-na-na na-na-na-na-na-na-na-na na-na-na-na Oow!Playing, it is a habit With long tall Sally Twistin' with Lucy Doin' the Watusi Roll over on your back I like it like that Do that Jerk, uh Watch me work y'all Ow! Do it! Wow! Do it! Just watch me do it Aah, help me Aah, help me Aah, help me Aah, help me",1966,r&b
My Death,Scott Walker,"My death is like A swinging door A patient girl who knows the score Whistle for her And the passing time My death waits like A bible truth At the funeral of my youth Weep loud for that And the passing time My death waits like A witch at night And surely as our love is bright Let's laugh for us And the passing time But whatever is behind the door There is nothing much to do Angel or devil I don't care For in front of that door There is you My death waits like A beggar blind Who sees the world with an unlit mind Throw him a dime For the passing time My death waits To allow my friends A few good times before it ends Let's drink to that And the passing time My death waits in Your arms, your thighs Your cool fingers will close my eyes Let's not talk about The passing time But whatever is behind the door There is nothing much to do Angel or devil I don't care For in front of that door There is you My death waits Among the falling leaves In magicians, mysterious sleeves Rabbits, dogs And the passing time My death waits Among the flowers Where the blackest shadow cowers Let's pick lilacs For the passing time My death waits in A double bed Sails of oblivion at my head Pull up the sheets Against the passing time But whatever is behind the door There is nothing much to do Angel or devil I don't care For in front of that door There is you",1967,rock
Can't Take My Eyes off You,Frankie Valli,"You're just too good to be true Can't take my eyes off  of you You'd be like Heaven to touch I wanna hold you so much At long last love has arrived And I thank God I'm alive You're just too good to be true Can't take my eyes off you Pardon the way that I stare There's nothing else to compare The sight of you leaves me weak There are no words left to speak But if you feel like I feel Please let me know that it's real You're just too good to be true Can't take my eyes off you I love you, baby, and if it's quite alright I need you, baby, to warm a lonely night I love you, baby, trust in me when I say: Oh, pretty baby, don't bring me down, I pray Oh, pretty baby, now that I found you, stay And let me love you, baby, let me love you You're just too good to be true Can't take my eyes off of you You'd be like Heaven to touch I wanna hold you so much At long last love has arrived And I thank God I'm alive You're just too good to be true Can't take my eyes off you I love you, baby, and if it's quite alright I need you, baby, to warm a lonely night I love you, baby, trust in me when I say: Oh, pretty baby, don't bring me down, I pray Oh, pretty baby, now that I found you, stay Oh, pretty baby, trust in me when I say",1967,r&b
White Rabbit,Jefferson Airplane,One pill makes you larger And one pill makes you small And the ones that mother gives you Don't do anything at all Go ask Alice When she's ten feet tall And if you go chasing rabbits And you know you're going to fall Tell 'em a hookah smoking caterpillar Has given you the call... He called Alice When she was just small When the men on the chessboard Get up and tell you where to go And you've just had some kind of mushroom And your mind is moving low Go ask Alice I think she'll know When logic and proportion Have fallen sloppy dead And the White Knight is talking backwards And the Red Queen's off with her head Remember what the Dormouse said Feed your head Feed your head,1967,rock
